"cohort_month","cohort_index","customers"
"2010-12-01 00:00:00","0","885"
"2010-12-01 00:00:00","1","324"
"2010-12-01 00:00:00","2","286"
"2010-12-01 00:00:00","3","340"
"2010-12-01 00:00:00","4","321"
"2010-12-01 00:00:00","5","352"
"2010-12-01 00:00:00","6","321"
"2010-12-01 00:00:00","7","309"
"2010-12-01 00:00:00","8","313"
"2010-12-01 00:00:00","9","350"
"2010-12-01 00:00:00","10","331"
"2010-12-01 00:00:00","11","445"
"2010-12-01 00:00:00","12","235"
"2011-01-01 00:00:00","0","417"
"2011-01-01 00:00:00","1","92"
"2011-01-01 00:00:00","2","111"
"2011-01-01 00:00:00","3","96"
"2011-01-01 00:00:00","4","134"
"2011-01-01 00:00:00","5","120"
"2011-01-01 00:00:00","6","103"
"2011-01-01 00:00:00","7","101"
"2011-01-01 00:00:00","8","125"
"2011-01-01 00:00:00","9","136"
"2011-01-01 00:00:00","10","152"
"2011-01-01 00:00:00","11","49"
"2011-02-01 00:00:00","0","380"
"2011-02-01 00:00:00","1","71"
"2011-02-01 00:00:00","2","71"
"2011-02-01 00:00:00","3","108"
"2011-02-01 00:00:00","4","103"
"2011-02-01 00:00:00","5","94"
"2011-02-01 00:00:00","6","96"
"2011-02-01 00:00:00","7","106"
"2011-02-01 00:00:00","8","94"
"2011-02-01 00:00:00","9","116"
"2011-02-01 00:00:00","10","26"
"2011-03-01 00:00:00","0","452"
"2011-03-01 00:00:00","1","68"
"2011-03-01 00:00:00","2","114"
"2011-03-01 00:00:00","3","90"
"2011-03-01 00:00:00","4","101"
"2011-03-01 00:00:00","5","76"
"2011-03-01 00:00:00","6","121"
"2011-03-01 00:00:00","7","104"
"2011-03-01 00:00:00","8","126"
"2011-03-01 00:00:00","9","39"
"2011-04-01 00:00:00","0","300"
"2011-04-01 00:00:00","1","64"
"2011-04-01 00:00:00","2","61"
"2011-04-01 00:00:00","3","63"
"2011-04-01 00:00:00","4","59"
"2011-04-01 00:00:00","5","68"
"2011-04-01 00:00:00","6","65"
"2011-04-01 00:00:00","7","78"
"2011-04-01 00:00:00","8","22"
"2011-05-01 00:00:00","0","284"
"2011-05-01 00:00:00","1","54"
"2011-05-01 00:00:00","2","49"
"2011-05-01 00:00:00","3","49"
"2011-05-01 00:00:00","4","59"
"2011-05-01 00:00:00","5","66"
"2011-05-01 00:00:00","6","75"
"2011-05-01 00:00:00","7","27"
"2011-06-01 00:00:00","0","242"
"2011-06-01 00:00:00","1","42"
"2011-06-01 00:00:00","2","38"
"2011-06-01 00:00:00","3","64"
"2011-06-01 00:00:00","4","56"
"2011-06-01 00:00:00","5","81"
"2011-06-01 00:00:00","6","23"
"2011-07-01 00:00:00","0","188"
"2011-07-01 00:00:00","1","34"
"2011-07-01 00:00:00","2","39"
"2011-07-01 00:00:00","3","42"
"2011-07-01 00:00:00","4","51"
"2011-07-01 00:00:00","5","21"
"2011-08-01 00:00:00","0","169"
"2011-08-01 00:00:00","1","35"
"2011-08-01 00:00:00","2","42"
"2011-08-01 00:00:00","3","41"
"2011-08-01 00:00:00","4","21"
"2011-09-01 00:00:00","0","299"
"2011-09-01 00:00:00","1","70"
"2011-09-01 00:00:00","2","90"
"2011-09-01 00:00:00","3","34"
"2011-10-01 00:00:00","0","358"
"2011-10-01 00:00:00","1","86"
"2011-10-01 00:00:00","2","41"
"2011-11-01 00:00:00","0","323"
"2011-11-01 00:00:00","1","36"
"2011-12-01 00:00:00","0","41"
